archivo,etiqueta,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,ZCR,RMS,Centroid,Bandwidth,Rolloff,Flatness,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,Contrast_1,Contrast_2,Contrast_3,Contrast_4,Contrast_5,Contrast_6,Contrast_7,Tonnetz_1,Tonnetz_2,Tonnetz_3,Tonnetz_4,Tonnetz_5,Tonnetz_6,Tempo
segmento_116.wav,100m,-214.5705,130.19867,9.616361,39.493134,2.537346,7.3921227,4.5028877,5.660404,5.045042,-4.22155,-3.038986,-0.73649967,-2.9817936,0.03528483450551044,0.060905337,3020.192801131855,4473.049037552282,6956.7484207330335,0.0078558475,0.5908732,0.55604875,0.50994134,0.4499389,0.43565893,0.42164177,0.4184952,0.47785565,0.50518763,0.5338514,0.5393582,0.5687235,9.744785854076897,9.596751645894942,12.678868852944492,13.234700722076347,12.582746830911248,14.116227553929601,18.975946975586233,-0.0077718712315193355,0.005198478462611458,-0.010445402932986915,0.021288816142921874,0.012092616136126772,0.004194090218475612,[143.5546875]
segmento_117.wav,100m,-207.30219,126.17309,7.2570524,37.790993,1.5735968,5.887113,7.0469556,5.504208,3.4960399,-2.6488652,-3.7274082,1.8721119,-2.0824363,0.04108529854263341,0.056890156,3230.1773632917016,4576.902261432295,7301.75430050029,0.010488732,0.655814,0.65511185,0.6152198,0.54739445,0.46783528,0.4222817,0.39692748,0.41683906,0.46007943,0.4968487,0.51371545,0.5876422,9.78654571177719,9.287518669827785,12.142462044262638,13.370602682455257,13.128959533703618,14.506706562156712,19.31966660524852,-0.00977562508405524,0.0009451034148952596,-0.025159704384422513,0.0247737818047521,0.007526754295913444,0.0004800141798743298,[101.33272059]
segmento_118.wav,100m,-205.79662,133.1344,10.240332,37.65649,-1.2322627,6.7657166,5.324726,4.180115,2.9827878,-2.9751408,-3.6517942,0.4435029,-2.301863,0.03552274416328306,0.06150788,2977.337813914857,4423.976195172904,6903.589886800319,0.007574149,0.6985976,0.804105,0.7410631,0.4702602,0.28342015,0.22684367,0.23691098,0.29439956,0.38115564,0.4184212,0.47995892,0.60722715,10.538243387220811,10.279146081542734,12.174143930113782,13.296915695975294,12.865014143739842,13.940341714067195,19.29463154777334,0.009049437915166669,0.008753029254700125,-0.06272655623487447,-0.00814803956582173,0.000759232903769027,0.0017405556846548426,[107.66601562]
segmento_119.wav,100m,-211.80519,125.19121,5.2043004,37.875755,-0.7660055,5.8305945,3.5415864,4.38251,2.2995586,-2.8122902,-4.315373,-0.29700097,-3.11258,0.04409882087441996,0.04893857,3300.402139476857,4546.619522076924,7491.256480205917,0.010821053,0.57035595,0.6101504,0.5452539,0.4344932,0.33621812,0.30146664,0.32042935,0.38339496,0.4948046,0.5873356,0.6416853,0.5973534,9.693102323092267,9.576115929653763,12.929489066517199,13.717299091316118,13.388747199287202,14.564166727879181,19.42509120511101,-0.015345544645566313,-0.0018806779172638266,-0.04491576524732325,-0.005811901199102417,0.01031380347768573,-0.012177210773304572,[114.84375]
segmento_12.wav,100m,-234.50424,122.64226,12.210588,34.002213,-3.021621,6.862841,3.6269462,6.828288,7.6950254,-4.2995,0.04609868,2.9077854,-0.9167703,0.03877700841067285,0.041504975,3613.594012876627,4818.026426605248,8468.519170986803,0.018393435,0.52881813,0.50306,0.49457878,0.5013732,0.52159935,0.54424393,0.5591004,0.6238648,0.6454303,0.6377732,0.5987478,0.55610913,10.404257681616475,8.694449241515843,11.873055079180425,13.556270845454133,12.776132794604035,14.145767739862523,18.710673053100557,-0.016125378516400033,0.006565768911832744,-0.0076745281518893664,0.030711638419229362,0.011287356900309357,0.010649867606481156,[139.67483108]
segmento_120.wav,100m,-204.1108,123.47016,4.324426,39.056328,0.15128547,6.8531303,6.3715644,4.891825,3.3660161,-1.7154609,-4.503101,0.94652385,-2.3707561,0.04520453433149652,0.05620158,3335.757588123836,4528.885453816863,7427.756013449826,0.012423834,0.57021874,0.5151767,0.4750054,0.43942586,0.4008594,0.3995896,0.40944374,0.4280715,0.46599346,0.5225494,0.5768977,0.6012522,9.998336081615028,9.75233330506437,12.57205908708632,13.73242086385549,13.63773529481302,14.360481194169047,19.80567180200231,-0.001022779538237029,-0.007148994204078877,-0.03421751341486518,0.010128739045763861,0.006850859642271781,0.002476256895538143,[161.49902344]
segmento_121.wav,100m,-213.08958,127.94838,4.2577276,35.21234,1.4698223,7.75296,8.101689,4.884661,4.6287456,-0.42582503,-1.3699539,2.4980245,-1.0680816,0.039867427675464036,0.050867956,3235.614108444993,4564.484959977109,7391.2095213710845,0.011311779,0.6393532,0.6189828,0.6276901,0.64329636,0.6277568,0.58935505,0.5084411,0.4498978,0.42701855,0.42754298,0.4660559,0.56573576,9.219024329053626,8.776920034293543,11.694712374041405,13.285625364720532,13.173120394226329,14.056309720853159,19.077130553002064,-0.0027137855660368014,0.007014288100430109,-0.005447646054135029,0.04925232462092261,0.011312636049399357,0.005020458439231089,[101.33272059]
segmento_122.wav,100m,-215.29524,134.4868,3.5199215,35.375553,0.7349964,8.882051,8.307401,4.075499,5.2820153,-1.7986466,-2.8467336,2.0856664,-1.3572642,0.03816467426769141,0.0499308,3021.9269833017147,4385.070315139192,6916.03018280525,0.009193383,0.649918,0.5829516,0.55005896,0.62393725,0.6826262,0.5321121,0.4140482,0.41899765,0.4663371,0.5256219,0.5760229,0.62364393,8.861712308462069,8.552613099166113,11.823755572433887,13.143797478375163,13.022877767711366,14.138036787659873,19.49026448087991,-0.006888234892468282,0.0029918736304788626,0.0075828436753446376,0.053076781596115015,-0.00010852466479472264,0.009479671770711117,[93.96306818]
segmento_123.wav,100m,-210.71727,134.6701,2.3685539,34.98444,2.571709,9.1975975,5.759968,5.2285385,4.928989,-2.8982742,-2.4889758,3.051719,-1.7842716,0.03859914261890951,0.05149605,2992.780516774856,4364.720318968718,6810.162764193011,0.008733339,0.64174575,0.56441706,0.5388737,0.5784773,0.6103954,0.52036077,0.43756235,0.4329535,0.48638883,0.57735807,0.6332807,0.6522527,9.236383302584118,8.659679081964235,11.511701872801133,13.008678457241597,12.869419315070985,14.563091440544955,19.488536023110957,-0.016793411760157036,-0.006310760028976709,0.006424847921127036,0.03536694692642213,0.004370913981999416,0.011484169765330215,[123.046875]
segmento_124.wav,100m,-205.64226,132.36952,-0.1019103,34.0818,4.3560424,7.727907,4.446412,5.912879,4.862854,-2.3343399,0.021311643,1.0930679,-3.560686,0.04141667270881671,0.052103512,3099.8036047626274,4419.212491236005,6895.995810524217,0.010400532,0.6617685,0.5514928,0.46245944,0.4511919,0.5790924,0.675993,0.5398119,0.43068126,0.4416249,0.5426603,0.622411,0.67926806,9.164772871370056,8.58763624119758,11.608270122229378,13.350691325008757,12.873849063948525,14.889829628094642,19.060773010287605,0.010424789647835483,0.008383767095674876,-0.03866814740494877,0.05352057966678037,0.002690671696159749,-0.006473172338800408,[112.34714674]
